Date,Average Daily Expenditure on Medicine B in Dollars
9/16/2013,218.5860647
9/17/2013,292.5738975
9/18/2013,254.3974739
9/19/2013,252.1439737
9/20/2013,280.5878369
9/21/2013,251.7002786
9/22/2013,185.6189844
9/23/2013,220.0088775
9/24/2013,244.2119328
9/25/2013,211.6364953
9/26/2013,238.5094623
9/27/2013,255.818979
9/28/2013,250.3207351
9/29/2013,177.880197
9/30/2013,300.4616009
10/1/2013,186.6117744
10/2/2013,219.9308333
10/3/2013,189.1845359
10/4/2013,226.9210479
10/5/2013,257.4068464
10/6/2013,249.9095755
10/7/2013,229.9109621
10/8/2013,261.9789139
10/9/2013,234.793109
10/10/2013,238.4378751
10/11/2013,212.8588766
10/12/2013,226.6297224
10/13/2013,213.3205509
10/14/2013,237.4081374
10/15/2013,251.720393
10/16/2013,236.88039
10/17/2013,264.8478198
10/18/2013,219.9436608
10/19/2013,259.2094896
10/20/2013,260.0462818
10/21/2013,259.438427
10/22/2013,179.2960413
10/23/2013,225.9370036
10/24/2013,185.2022635
10/25/2013,233.2246317
10/26/2013,204.2771879
10/27/2013,214.2712088
10/28/2013,262.3003405
10/29/2013,219.1730597
10/30/2013,193.7140921
10/31/2013,203.0781718
11/1/2013,244.7844154
11/2/2013,238.1877187
11/3/2013,180.0874589
11/4/2013,224.205618
11/5/2013,231.1119048
11/6/2013,224.8709526
11/7/2013,233.3104336
11/8/2013,229.0920132
11/9/2013,239.2429607
11/10/2013,209.2884506
11/11/2013,283.2476328
11/12/2013,267.6931382
11/13/2013,249.1228482
11/14/2013,188.290935
11/15/2013,255.7163874
11/16/2013,201.3413527
11/17/2013,308.8506654
11/18/2013,239.7596139
11/19/2013,204.3672622
11/20/2013,215.2076257
11/21/2013,239.0639781
11/22/2013,244.0064499
11/23/2013,305.2739897
11/24/2013,212.5756571
11/25/2013,243.2868117
11/26/2013,238.4644265
11/27/2013,237.6358732
11/28/2013,385.9898222
11/29/2013,261.304383
11/30/2013,252.5699212
12/1/2013,216.4099263
12/2/2013,200.9281323
12/3/2013,182.4283128
12/4/2013,243.3637744
12/5/2013,205.4028
12/6/2013,204.4910805
12/7/2013,186.6775405
12/8/2013,218.0084026
12/9/2013,249.3540034
12/10/2013,223.0216638
12/11/2013,240.2979418
